,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
838,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
839,MP,True,Chinese uses commas to mark the end of a complete thought,SCONJ,ADJ SCONJ DET,SCONJ DET,SCONJ DET ADJ,False,False
841,MP,True,Chinese uses commas to mark the end of a complete thought,SCONJ,ADJ SCONJ DET,SCONJ DET,SCONJ DET ADJ,False,False
842,UY,True,Chinese sentence structure differs from English,ADV,NOUN ADV PUNCT,ADV PUNCT,ADV PUNCT,True,True
843,AGQ,True,Phrases map to the same Chinese phrase,DET,ADV DET NOUN,DET NOUN,DET NOUN VERB,True,True
845,UD,False,Overcorrection,DET,ADP DET ADJ,DET ADJ,DET ADJ NOUN,False,True
846,AGN,True,Number error,NOUN,ADJ NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
848,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,SCONJ PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
849,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN,DET PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
850,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN,PUNCT PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
851,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN,PUNCT PROPN PROPN,PROPN PROPN,PROPN PROPN CCONJ,False,False
852,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,PUNCT ADJ ADJ,ADJ ADJ,ADJ ADJ NOUN,False,False
853,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,SCONJ PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
854,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADV PROPN PROPN,PROPN PROPN,PROPN PROPN AUX,False,False
856,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,PUNCT PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
857,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN,DET PROPN NOUN,PROPN NOUN,PROPN NOUN PUNCT,True,True
858,RA,False,that vs which confusion,DET,PUNCT DET AUX,DET AUX,DET AUX ADJ,False,True
859,UV,True,Chinese conventions conflict with English,VERB,AUX VERB ADP,VERB ADP,VERB ADP NUM,False,False
861,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,CCONJ NOUN AUX,NOUN AUX,NOUN AUX ADV,False,False
862,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,ADV AUX ADV,AUX ADV,AUX ADV NUM,False,False
864,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX VERB,AUX VERB,AUX VERB ADJ,False,False
865,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX AUX,AUX AUX,AUX AUX VERB,False,False
867,DY,False,Spelling error,ADV,VERB ADV PUNCT,ADV PUNCT,ADV PUNCT SCONJ,True,False
868,AGN,False,Overcorrection,PROPN,PUNCT PROPN AUX,PROPN AUX,PROPN AUX ADV,False,True
870,FV,True,Progressive aspect not applied,VERB,ADP VERB PRON,VERB PRON,VERB PRON DET,False,False
871,TV,True,Chinese generally expresses actions in present tense,AUX,ADV AUX DET,AUX DET,AUX DET NOUN,False,False
872,TV,False,-,VERB,PRON VERB PART,VERB PART,VERB PART VERB,True,False
873,MP,True,Chinese uses commas to mark the end of a complete thought,SCONJ,VERB SCONJ PRON,SCONJ PRON,SCONJ PRON VERB,True,True
874,TV,True,Chinese generally expresses actions in present tense,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,False
880,AGN,False,Overcorrection,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,False,True
883,RA,True,Chinese does not have a null pronoun like 'It' so used 'that',DET,PUNCT DET AUX,DET AUX,DET AUX ADJ,False,False
884,MA,False,Pronoun can also be used here in Chinese,ADV,PUNCT ADV VERB,ADV VERB,ADV VERB ADP,True,False
885,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX DET,AUX DET,AUX DET ADV,False,False
887,CD,True,Chinese uses a character that maps a determiner in this case,DET,SCONJ DET NOUN,DET NOUN,DET NOUN ADV,False,False
888,CN,True,Chinese does not distinguish between mass and count nouns,NOUN,DET NOUN ADV,NOUN ADV,NOUN ADV AUX,False,False
889,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,ADP AUX ADV,AUX ADV,AUX ADV ADJ,False,False
892,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,True
893,UY,False,Wordiness,ADV,ADV ADV ADP,ADV ADP,ADV ADP DET,False,True
894,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PROPN,PROPN PROPN,PROPN PROPN PROPN,False,False
895,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PROPN,PROPN PROPN,PROPN PROPN PROPN,False,False
899,AGV,False,Incorrect application of 3rd person present tense (e.g. tagging on the suffix -s),VERB,DET VERB ADV,VERB ADV,VERB ADV DET,False,True
900,MV,True,Chinese conventions conflict with English,PART,NOUN PART VERB,PART VERB,PART VERB DET,True,True
901,TV,True,Will and would map to the same word in Chinese,VERB,PRON VERB VERB,VERB VERB,VERB VERB PRON,True,True
902,RA,False,Using possessive case inappropriately,PRON,VERB PRON VERB,PRON VERB,PRON VERB ADJ,False,True
903,M,False,Incorrect/incomplete expression used,SCONJ,NOUN SCONJ PRON,SCONJ PRON,SCONJ PRON VERB,True,False
904,FV,False,Incorrectly using progressive aspect,NOUN,PUNCT NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,False,True
905,AGN,True,Number error,NOUN,NOUN NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
906,UD,False,Overcorrection,DET,VERB DET PROPN,DET PROPN,DET PROPN PROPN,False,True
907,DV,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,DET NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
909,FN,False,Number disagreement,NOUN,PUNCT NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,False,True
911,DA,False,Using your instead of yours for sign offs,DET,DET ADV,DET ADV,DET ADV PUNCT,False,True
912,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
913,UT,True,Chinese sentence structure differs from English,ADP,VERB ADP DET,ADP DET,ADP DET NOUN,False,False
914,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
915,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
917,CN,True,Chinese does not distinguish between mass and count nouns,NOUN,ADJ NOUN DET,NOUN DET,NOUN DET PROPN,False,False
918,AGN,True,Number error,NOUN,DET NOUN AUX,NOUN AUX,NOUN AUX ADV,False,False
919,FV,True,Progressive aspect not applied,AUX,ADV AUX ADV,AUX ADV,AUX ADV VERB,False,False
920,TV,True,Chinese generally expresses actions in present tense,VERB,ADV VERB ADV,VERB ADV,VERB ADV PUNCT,True,True
921,AGN,True,Number error,NOUN,PUNCT NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADJ,False,False
922,RP,False,Inappropriate capitalization in the middle of sentence,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX ADV,False,True
923,FN,True,Missing plural,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
925,TV,True,Will and would map to the same word in Chinese,VERB,PRON VERB VERB,VERB VERB,VERB VERB PRON,True,True
926,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
927,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,ADV VERB ADV,VERB ADV,VERB ADV NUM,False,False
928,RQ,True,Chinese would use word in the given context,DET,VERB DET NOUN,DET NOUN,DET NOUN CCONJ,False,False
929,UT,False,Overcorrection,ADP,DET ADP NOUN,ADP NOUN,ADP NOUN CCONJ,False,True
930,AGN,False,Overcorrection,NOUN,DET NOUN CCONJ,NOUN CCONJ,NOUN CCONJ NOUN,True,False
933,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PUNCT,ADP PUNCT NOUN,PUNCT NOUN,PUNCT NOUN NOUN,True,True
935,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,ADJ VERB AUX,VERB AUX,VERB AUX PART,False,False
936,MV,False,Missing word is important to the sentence,PART,NOUN PART VERB,PART VERB,PART VERB VERB,True,False
937,DN,False,Spelling error,NOUN,ADJ NOUN NOUN,NOUN NOUN,NOUN NOUN ADP,False,True
939,MV,True,Chinese conventions conflict with English,PART,NOUN PART VERB,PART VERB,PART VERB VERB,True,True
940,RP,True,Punctuation error related to Spelling errors (missing space),NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,False
941,RA,False,Using 'It' incorrectly,PRON,VERB PRON ADP,PRON ADP,PRON ADP DET,False,True
943,FD,False,Wrong determiner used,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,False,True
945,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,ADJ NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
946,AGN,False,Overcorrection,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,False,True
947,MA,True,Chinese is a pro-drop language,ADV,CCONJ ADV VERB,ADV VERB,ADV VERB DET,True,True
948,UV,True,Chinese conventions conflict with English,VERB,NOUN VERB ADJ,VERB ADJ,VERB ADJ PUNCT,False,False
949,FJ,True,Chinese would use word in this context,ADJ,NOUN ADJ PUNCT,ADJ PUNCT,ADJ PUNCT PRON,False,False
951,RD,False,Wrong determiner used,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
952,FV,False,Incorrectly using progressive aspect,VERB,ADV VERB DET,VERB DET,VERB DET NOUN,False,True
956,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN SCONJ,NOUN SCONJ,NOUN SCONJ DET,False,False
957,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,PROPN AUX ADJ,AUX ADJ,AUX ADJ PUNCT,False,False
958,UD,False,Overcorrection,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,False,True
959,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,ADP DET NOUN,DET NOUN,DET NOUN PRON,False,True
960,UV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB PART,True,True
962,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADV,NOUN ADV,NOUN ADV PRON,True,True
963,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,PRON AUX VERB,AUX VERB,AUX VERB PUNCT,False,False
964,M,False,Incorrect/incomplete expression used,ADV,SCONJ ADV PRON,ADV PRON,ADV PRON PUNCT,True,False
965,FV,False,Incorrectly using progressive aspect,VERB,ADV VERB ADP,VERB ADP,VERB ADP NOUN,False,True
966,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
967,FV,True,Progressive aspect not applied,VERB,NOUN VERB PRON,VERB PRON,VERB PRON PUNCT,True,True
969,IJ,False,Misunderstanding of word usage/meaning,ADJ,DET ADJ NOUN,ADJ NOUN,ADJ NOUN ADP,False,True
970,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
971,UD,False,Overcorrection,DET,PUNCT DET NOUN,DET NOUN,DET NOUN AUX,False,True
972,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADJ NOUN AUX,NOUN AUX,NOUN AUX ADJ,False,False
973,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX ADJ,AUX ADJ,AUX ADJ SCONJ,False,False
974,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADJ NOUN AUX,NOUN AUX,NOUN AUX ADJ,False,False
976,MT,True,Chinese doesn't use the word in this context,SCONJ,NOUN SCONJ PUNCT,SCONJ PUNCT,SCONJ PUNCT PRON,False,False
977,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,DET PRON AUX,PRON AUX,PRON AUX VERB,False,False
978,MT,True,Chinese doesn't use the word in this context,DET,ADP DET NOUN,DET NOUN,DET NOUN NOUN,False,False
979,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,False
980,FN,True,Missing plural,NOUN,NOUN NOUN ADP,NOUN ADP,NOUN ADP PRON,False,False
981,MD,False,Word omitted even though in the Chinese translation it would be there,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP DET,False,True
982,UY,True,Chinese would use word in this context,ADV,NOUN ADV PUNCT,ADV PUNCT,ADV PUNCT PRON,True,True
983,MA,False,Pronoun can also be used here in Chinese,PRON,VERB PRON NOUN,PRON NOUN,PRON NOUN ADP,False,True
984,MC,True,Chinese does not use conjunctions to join clauses,ADV,NOUN ADV ADV,ADV ADV,ADV ADV ADJ,False,False
985,MT,True,Chinese doesn't use the word in this context,ADJ,VERB ADJ NOUN,ADJ NOUN,ADJ NOUN AUX,False,False
986,TV,True,Chinese generally expresses actions in present tense,AUX,VERB AUX ADP,AUX ADP,AUX ADP DET,False,False
987,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,False
989,TV,True,Chinese generally expresses actions in present tense,AUX,VERB AUX ADP,AUX ADP,AUX ADP DET,False,False
990,UN,True,Chinese conventions conflict with English,NOUN,ADJ NOUN NOUN,NOUN NOUN,NOUN NOUN ADP,False,False
993,MA,False,Pronoun can also be used here in Chinese,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,False,True
995,AGN,False,Overcorrection,NOUN,ADJ NOUN ADP,NOUN ADP,NOUN ADP DET,False,True
996,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
998,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
999,RP,False,Error that native speakers would make as well,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
1000,UV,False,Contraction with verb error,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX ADJ,False,True
1001,AGV,False,Incorrect application of 3rd person present tense (e.g. tagging on the suffix -s),VERB,PRON VERB ADJ,VERB ADJ,VERB ADJ CCONJ,False,True
1002,MP,True,Chinese sentence structure differs from English,PRON,NOUN PRON VERB,PRON VERB,PRON VERB VERB,True,True
1004,TV,False,Thought talking about a feeling that is ongoing which sprouted in the past would be in past tense,VERB,NOUN VERB PRON,VERB PRON,VERB PRON VERB,True,False
1007,MV,True,Chinese does not have auxiliary verbs,DET,VERB DET ADP,DET ADP,DET ADP PROPN,False,False
1008,MD,True,Chinese has no articles and doesn't use classifiers in this situation,VERB,ADP VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,True,True
1010,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,False
1011,RP,True,Word not capitalized,CCONJ,PUNCT CCONJ ADV,CCONJ ADV,CCONJ ADV ADJ,False,False
1012,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB,NOUN VERB ADP,VERB ADP,VERB ADP DET,False,False
1013,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,False
1014,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,False,False
1015,FV,False,Incorrectly using past tense,VERB,ADP VERB ADP,VERB ADP,VERB ADP NOUN,False,True
1016,MT,True,Chinese doesn't use the word in this context,NOUN,VERB NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
1017,FV,False,Incorrectly using past tense,VERB,ADP VERB ADP,VERB ADP,VERB ADP NOUN,False,True
1018,MT,True,Chinese doesn't use the word in this context,NOUN,VERB NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
1019,RP,False,Overcorrection,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON ADV,False,True
1020,DJ,True,The two words map to the same word in Chinese,NOUN,VERB NOUN SCONJ,NOUN SCONJ,NOUN SCONJ PRON,False,False
1021,MP,False,Missing apostrophy,NOUN,DET NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,False
1022,RP,True,Chinese uses commas to mark the end of a complete thought,SCONJ,PUNCT SCONJ PRON,SCONJ PRON,SCONJ PRON AUX,False,False
1024,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,False,False
1025,MV,False,Missing word is important to the sentence,ADV,PRON ADV ADV,ADV ADV,ADV ADV PART,True,False
1026,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,PUNCT DET NOUN,DET NOUN,DET NOUN AUX,False,True
1027,MV,True,Chinese conventions conflict with English,ADV,NOUN ADV ADJ,ADV ADJ,ADV ADJ PUNCT,False,False
1028,UV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADJ,False,False
1029,M,False,Word omitted even though in the Chinese translation it would be there,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB AUX,False,True
1030,MV,True,Chinese conventions conflict with English,ADV,VERB ADV ADJ,ADV ADJ,ADV ADJ ADV,False,False
1032,UA,False,Overcorrection,PRON,VERB PRON PUNCT,PRON PUNCT,PRON PUNCT CCONJ,False,True
1033,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT ADV,PUNCT ADV,PUNCT ADV PRON,False,True
1034,MC,True,Chinese does not use conjunctions to join clauses,VERB,ADV VERB ADP,VERB ADP,VERB ADP DET,False,False
1035,DD,False,Pronoun not used in Chinese,PRON,ADP PRON NOUN,PRON NOUN,PRON NOUN PUNCT,True,False
1037,UV,True,Chinese conventions conflict with English,VERB,AUX VERB ADJ,VERB ADJ,VERB ADJ PUNCT,False,False
1038,MV,True,Chinese conventions conflict with English,ADV,NOUN ADV ADJ,ADV ADJ,ADV ADJ PUNCT,False,False
1039,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT ADV,PUNCT ADV,PUNCT ADV PRON,False,True
1040,TV,False,Incorrectly using progressive aspect,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,True
1041,AGA,False,Using 'It' incorrectly,PRON,VERB PRON ADV,PRON ADV,PRON ADV PUNCT,False,True
1042,MY,True,Relative adverb missing,ADV,PUNCT ADV PRON,ADV PRON,ADV PRON VERB,True,True
1043,MP,True,Chinese uses commas to mark the end of a complete thought,AUX,ADJ AUX PART,AUX PART,AUX PART PRON,False,False
1044,TV,False,Incorrectly using progressive aspect,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,True
1046,UV,False,Incorrect/incomplete expression used,VERB,PUNCT VERB SCONJ,VERB SCONJ,VERB SCONJ PROPN,False,True
1047,RP,False,Overcorrection,PUNCT,PROPN PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
1048,AGN,True,Number error,NOUN,ADP NOUN AUX,NOUN AUX,NOUN AUX ADV,False,False
1049,MV,True,Chinese conventions conflict with English,ADV,NOUN ADV PUNCT,ADV PUNCT,ADV PUNCT PRON,True,True
1050,DD,False,Pronoun not used in Chinese,PRON,VERB PRON NOUN,PRON NOUN,PRON NOUN PUNCT,True,False
1051,RA,False,Using 'It' incorrectly,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB VERB,True,False
1052,RP,False,Inappropriate capitalization in the middle of sentence,ADJ,PUNCT ADJ PUNCT,ADJ PUNCT,ADJ PUNCT ADJ,False,True
1053,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NOUN DET PRON,DET PRON,DET PRON VERB,True,True
1054,RA,False,that vs which confusion,SCONJ,PUNCT SCONJ PRON,SCONJ PRON,SCONJ PRON VERB,True,False
1055,UP,False,Incorrect modal contractions,PRON,ADV PRON VERB,PRON VERB,PRON VERB DET,False,True
1056,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX PART,AUX PART,AUX PART ADJ,False,False
1058,DD,False,Pronoun not used in Chinese,PRON,PUNCT PRON NOUN,PRON NOUN,PRON NOUN VERB,True,False
1059,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,ADV PRON VERB,PRON VERB,PRON VERB DET,False,False
1060,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,ADV PRON VERB,PRON VERB,PRON VERB DET,False,False
1061,MC,False,Incomplete expression used,PRON,ADV PRON AUX,PRON AUX,PRON AUX ADJ,False,True
1062,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,ADV PRON VERB,PRON VERB,PRON VERB DET,False,False
1063,UJ,False,Wordiness,ADJ,DET ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,True,False
1066,MT,True,Chinese doesn't use the word in this context,VERB,NOUN VERB PUNCT,VERB PUNCT,VERB PUNCT VERB,True,True
1067,UP,False,Incorrect modal contractions,PRON,PRON AUX,PRON AUX,PRON AUX DET,False,True
1070,MP,False,Missing apostrophy,NOUN,DET NOUN ADV,NOUN ADV,NOUN ADV ADP,False,True
1071,MN,False,Incorrect/incomplete expression used,ADP,PART ADP PRON,ADP PRON,ADP PRON VERB,False,True
